"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"Amarta Beach Retreat by Nakula","4.5","486","Banjar Pasut","Kabupaten Tabanan","Bali","ID","http://www.amartaretreat.com/","+62 811-3855-855","Hotel",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Amarta%20Beach%20Retreat%20by%20Nakula&query_place_id=ChIJO8DBBRgx0i0RhuhkbL4OOTQ","Hotel"
"Villa Ketapang","4.8","41","Banjar Klecung Kelod, Tegalmengkeb, Selemadeg","Kabupaten Tabanan","Bali","ID",,"+62 859-7177-1977","Hotel Resor","Spa",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Villa%20Ketapang&query_place_id=ChIJBZyXYHIx0i0R9l6tMZh6lPU","Hotel Resor"
"Pantai Pasut","4.5","1107","Jalan Raya Pasut","Kabupaten Tabanan","Bali","ID","http://www.tabanankab.go.id/","","Pantai",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Pantai%20Pasut&query_place_id=ChIJmwQt5CIx0i0Rw4rwskRHZLg","Pantai"
"Nyuh Lengkong Living & Dining","5","53","C2QP+9M9","Kabupaten Tabanan","Bali","ID",,"+62 821-3441-665","Hotel Resor","Restoran",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Nyuh%20Lengkong%20Living%20%26%20Dining&query_place_id=ChIJ-_2LLAAx0i0RPsUwoaTtX8g","Hotel Resor"
"Kive's Resort",,,"C2VQ+2RM","Kabupaten Tabanan","Bali","ID",,"","Hotel",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kive's%20Resort&query_place_id=ChIJjVHOJs4x0i0Rblps7ZcPWjU","Hotel"
"Lumbini Luxury Villas and Spa","4.4","889","Jl. Raya Uluwatu No.38","Kabupaten Badung","Bali","ID","https://lumbinivillas.reserveonline.id/book/608","+62 361 704338","Vila","Spa",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Lumbini%20Luxury%20Villas%20and%20Spa&query_place_id=ChIJUaWr4olE0i0RZ_VJNwZKKJY","Vila"
"Nau villa ubud","4.7","736",,"Kabupaten Gianyar","Bali","ID","http://nauvillaubud.com/","+62 361 9080274","Vila","Hotel","Hotel Resor",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Nau%20villa%20ubud&query_place_id=ChIJT9FX4LEY0i0R95FN0bETsrg","Vila"
"Ayona Villa Canggu by iNi Vie Hospitality","4.8","579","Gg. Anggrek VI No.8A","Kabupaten Badung","Bali","ID","http://inivie.com/ayonavillacanggu/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile","+62 823-2289-3908","Vila",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ayona%20Villa%20Canggu%20by%20iNi%20Vie%20Hospitality&query_place_id=ChIJaY83pM1H0i0RjwNBCocIQ1c","Vila"
"The Mavila Sanur","4.8","309","Sanur Kaja, Jl. Tirta Nadi No. 20 Sanur","Kota Denpasar","Bali","ID","http://themavilasanur.com/","+62 812-4692-6958","Vila",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=The%20Mavila%20Sanur&query_place_id=ChIJp-Av-dVB0i0R4Wlbps89oMw","Vila"
"Bidadari Private Villas & Retreat","4.7","380","Jl. Raya Kelabang Moding","Kabupaten Gianyar","Bali","ID","http://www.bidadarivillasubudbali.com/","+62 361 9000401","Hotel Resor",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bidadari%20Private%20Villas%20%26%20Retreat&query_place_id=ChIJy6pXSLki0i0R8JtrBFpjSLE","Hotel Resor"
