"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"SEKUMPUL WATERFALL OFFICIAL (POST 1)","4.5","867","Jalan Air Terjun Desa Sekumpul Kecamatan Sawan Kabupaten Buleleng","Kota Singaraja","Bali","ID",,"+62 812-3757-0524","Tujuan Wisata",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=SEKUMPUL%20WATERFALL%20OFFICIAL%20(POST%201)&query_place_id=ChIJ7yfO4n2P0S0RiKUeI1xVpyg","Tujuan Wisata"
"Tukad cepung waterfall","4.6","5087","Jl. Tembuku","Kabupaten Bangli","Bali","ID","https://linktr.ee/tukadcepungwaterfall","+62 878-6322-0041","Tujuan Wisata",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Tukad%20cepung%20waterfall&query_place_id=ChIJQ6ocSKAb0i0RP1CIrkak0ws","Tujuan Wisata"
"Banyumala Waterfall","4.8","5301",,"Kabupaten Buleleng","Bali","ID",,"","Tujuan Wisata",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Banyumala%20Waterfall&query_place_id=ChIJdegEep2P0S0RlyNNjuDZzE4","Tujuan Wisata"
"Suwat Waterfall","4.6","1911","Jl. Pura Dalem No.Desa","Kabupaten Gianyar","Bali","ID","https://suwatwaterfall.com/","+62 857-3904-6295","Tujuan Wisata",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Suwat%20Waterfall&query_place_id=ChIJgxNvhqEX0i0R-6U9ogQJ_-k","Tujuan Wisata"
"Banyu Wana Amertha Waterfall","4.8","1430","Q4RG+229","Kabupaten Buleleng","Bali","ID",,"+62 822-4616-9096","Tujuan Wisata",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Banyu%20Wana%20Amertha%20Waterfall&query_place_id=ChIJL6Q2CwqP0S0RRcaWKuRqTPY","Tujuan Wisata"
"Secret Waterfall","3.6","230","Jl. Raya Laplapan No.7","Kabupaten Gianyar","Bali","ID",,"","Tujuan Wisata",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Secret%20Waterfall&query_place_id=ChIJ6xdeq8I90i0Rh5Dcmd4X0MY","Tujuan Wisata"
"Air Terjun Nungnung","4.8","939",,"Kabupaten Badung","Bali","ID",,"","Air Terjun",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Air%20Terjun%20Nungnung&query_place_id=ChIJ4xDIw4Mg0i0RGOMipIV42Io","Air Terjun"
"Blahmantung Waterfall","4.7","186","PX2X+6H3","Kabupaten Tabanan","Bali","ID",,"","Tujuan Wisata",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Blahmantung%20Waterfall&query_place_id=ChIJCaEpSAuH0S0RtyY9wJ0oVr8","Tujuan Wisata"
"Aan secret waterfall","4.7","485",,"Kabupaten Klungkung","Bali","ID",,"+62 857-9282-1748","Tujuan Wisata",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Aan%20secret%20waterfall&query_place_id=ChIJGwy2RkwR0i0REpVO8_XJUNI","Tujuan Wisata"
"Air Terjun Manuaba","4.8","1666",,"Kabupaten Gianyar","Bali","ID",,"","Tujuan Wisata",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Air%20Terjun%20Manuaba&query_place_id=ChIJH3iCz9cZ0i0R2xCtNwxvhO0","Tujuan Wisata"
"Goa Rang Reng Waterfall","4.7","1434","Jl. Goa Jl. Rang Reng","Kabupaten Gianyar","Bali","ID",,"+62 877-4401-3566","Tujuan Wisata",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Goa%20Rang%20Reng%20Waterfall&query_place_id=ChIJv_tYCBIX0i0Rn_MGS2i_Kpc","Tujuan Wisata"
"Colek Pamor Waterfall","4.5","237","R43P+RH7","Kabupaten Buleleng","Bali","ID",,"","Taman","Tujuan Wisata",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Colek%20Pamor%20Waterfall&query_place_id=ChIJh0ClF7SP0S0RqrFjCagdNEY","Taman"
"Lateng kayu Waterfall","4.6","464",,"Kabupaten Gianyar","Bali","ID",,"+62 878-6095-8897","Tujuan Wisata",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Lateng%20kayu%20Waterfall&query_place_id=ChIJp-dTCRMf0i0R0zepJIG49Fw","Tujuan Wisata"
"Gitgit Waterfall","4.3","3833","Jl. Raya Bedugul - Singaraja","Kabupaten Buleleng","Bali","ID","https://gitgitwaterfall.com/","","Tujuan Wisata",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Gitgit%20Waterfall&query_place_id=ChIJ2bn7v86P0S0RQNlEPMKB6JU","Tujuan Wisata"
"Goa Rajo Waterfall","4.8","1139",,"Kabupaten Bangli","Bali","ID",,"+62 818-0811-6677","Tujuan Wisata",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Goa%20Rajo%20Waterfall&query_place_id=ChIJGVkDVbEZ0i0RxvT3WMj3Pnk","Tujuan Wisata"
"Aling-Aling Waterfall","4.6","3868",,"Kabupaten Buleleng","Bali","ID","https://alingalingwaterfallnorthbali.com/","+62 877-6253-1292","Tujuan Wisata",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Aling-Aling%20Waterfall&query_place_id=ChIJ8c9PQP2P0S0RNJMC6i4k8iQ","Tujuan Wisata"
"Air Terjun Leke Leke","4.5","3467","Kerobokan","Kabupaten Tabanan","Bali","ID",,"","Tujuan Wisata",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Air%20Terjun%20Leke%20Leke&query_place_id=ChIJXfZP2tYg0i0RUaM-yoiFiXs","Tujuan Wisata"
"Krisik Waterfall","4.8","378","Jl. Watukaru","Kabupaten Bangli","Bali","ID","http://www.krisikwaterfall.go.id/","+62 878-6013-2664","Tujuan Wisata",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Krisik%20Waterfall&query_place_id=ChIJ91_M5f8b0i0RnlfW3q3qCpM","Tujuan Wisata"
"Air Terjun Pengempu","4.2","812","G6J3+848, Jl. Seribupati","Kabupaten Tabanan","Bali","ID",,"","Tujuan Wisata",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Air%20Terjun%20Pengempu&query_place_id=ChIJZ7s1gUIj0i0RpJe0WNaJmLw","Tujuan Wisata"
"Air Terjun Melanting","4.7","589","P3W7+55F, Jl. Air Terjun Melanting No.Desa","Kabupaten Buleleng","Bali","ID","https://www.vansurya.my.id/2022/03/wisata-air-terjun-melanting-desa-munduk.html","","Tujuan Wisata",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Air%20Terjun%20Melanting&query_place_id=ChIJn8yk7HaG0S0RHG3kKWkmyEc","Tujuan Wisata"
"Balian Beach","4.5","782",,"Kabupaten Tabanan","Bali","ID","https://balian-beach.business.site/","+62 361 811602","Pantai",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Balian%20Beach&query_place_id=ChIJDZj9WIgt0i0RkuwzYDeJATE","Pantai"
"Bungkulan Beach","4.4","25","Unnamed Road","Kabupaten Buleleng","Bali","ID",,"","Pantai",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bungkulan%20Beach&query_place_id=ChIJ-Sq20OiW0S0R9BEq-f_anos","Pantai"
"Pantai Lovina","4.3","372","R2PC+JMG, Jl. Raya Singaraja, Temukus, Kecamatan Buleleng","Kabupaten Buleleng","Bali","ID","http://www.balitravelhub.com/beaches/lovina-beach/","","Tujuan Wisata","Pantai Umum",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Pantai%20Lovina&query_place_id=ChIJr0vgWkGb0S0RcEtpJ0Ic_RI","Tujuan Wisata"
"SINGARAJA BEACH","5","57","Jl. Surapati No.11",,"Bali","ID","https://pantaibali.com/","+62 878-6554-9610","Klub pantai","Tujuan Wisata",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=SINGARAJA%20BEACH&query_place_id=ChIJF-ovXwCb0S0RVox1Gf6d2yc","Klub pantai"
"Baruna Beach","4.5","2","V384+FHC","Kabupaten Buleleng","Bali","ID",,"","Paviliun Pantai",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Baruna%20Beach&query_place_id=ChIJS0z-C_mb0S0RQoGw2BGPAhA","Paviliun Pantai"
"Pantai Kerobokan Singaraja","4.4","1081",,"Kabupaten Buleleng","Bali","ID",,"","Tujuan Wisata",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Pantai%20Kerobokan%20Singaraja&query_place_id=ChIJv3XeGjiX0S0RkYueMvmwjHU","Tujuan Wisata"
"Villa Samudra, Luxury and Comfort Villa by Balian Beach - Three-Bedroom Villa","4.25","2",,"Kabupaten Tabanan","Bali","ID",,"","Vila","Persewaan liburan",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Villa%20Samudra%2C%20Luxury%20and%20Comfort%20Villa%20by%20Balian%20Beach%20-%20Three-Bedroom%20Villa&query_place_id=ChIJKWOc54gt0i0R9KNQ0HZgOW4","Vila"
"Budha Beach lovina kartika street","4.5","6","R2WH+683, Jl. Desa Kalibukbuk-Anturan","Kabupaten Buleleng","Bali","ID","http://www.007transportbali.com/","+62 877-6268-5129","Tujuan Wisata",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Budha%20Beach%20lovina%20kartika%20street&query_place_id=ChIJkxt0O6ab0S0RnjH-FUGKGjo","Tujuan Wisata"
"Yangai beach","3.5","4",,"Kabupaten Buleleng","Bali","ID",,"","Tujuan Wisata",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Yangai%20beach&query_place_id=ChIJ64WnKXSX0S0RiXACdD97z-I","Tujuan Wisata"
"Villa Cantik - Villa - Beach Front",,,,"Kabupaten Buleleng","Bali","ID","https://br.bluepillow.com/search/5a84fcdf7c00cb0e0429d106?dest=bkng&cat=Villa&lat=-8.18171&lng=114.97781&language=pt","","Penginapan","Persewaan liburan",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Villa%20Cantik%20-%20Villa%20-%20Beach%20Front&query_place_id=ChIJAa2zLbWc0S0Rsx3W62Abueo","Penginapan"
"Hidden Beach Giri Emas","4.1","19",,"Kabupaten Buleleng","Bali","ID",,"+62 878-6200-5345","Pantai",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Hidden%20Beach%20Giri%20Emas&query_place_id=ChIJV_JKcTuX0S0RqJ5fQ7S6wpY","Pantai"
